window_end,TP,FP,TN,FN,Precision,Recall,F1
1748413689.4541395,0,0,1,0,0,0,0
1748413689.4766917,0,0,2,0,0,0,0
1748413689.5191488,0,0,3,0,0,0,0
1748413689.5455422,0,0,4,0,0,0,0
1748413689.5880432,0,0,1,0,0,0,0
1748413689.6208944,0,0,5,0,0,0,0
1748413689.6256773,0,0,2,0,0,0,0
1748413689.6797135,0,0,3,0,0,0,0
1748413689.7097456,0,0,4,0,0,0,0
1748413689.74728,0,0,6,0,0,0,0
1748413689.8059871,0,0,5,0,0,0,0
1748413689.8133624,0,0,7,0,0,0,0
1748413689.8563337,0,0,6,0,0,0,0
1748413689.8899708,0,0,8,0,0,0,0
1748413689.9057806,0,0,7,0,0,0,0
1748413689.9057784,0,0,9,0,0,0,0
1748413689.9363692,0,0,10,0,0,0,0
1748413689.9993982,0,0,8,0,0,0,0
1748413690.0442271,0,0,11,0,0,0,0
1748413690.0725064,0,0,12,0,0,0,0
1748413690.0993068,0,0,9,0,0,0,0
1748413690.126071,0,0,13,0,0,0,0
1748413690.130549,0,0,10,0,0,0,0
1748413690.142333,0,0,11,0,0,0,0
1748413690.1761801,0,0,12,0,0,0,0
1748413690.2026575,0,0,14,0,0,0,0
1748413690.2045782,0,0,15,0,0,0,0
1748413690.2142558,0,0,13,0,0,0,0
1748413690.2159739,0,0,14,0,0,0,0
1748413690.2970965,0,0,16,0,0,0,0
1748413690.3016071,0,0,17,0,0,0,0
1748413690.3156364,0,0,18,0,0,0,0
1748413690.366443,0,0,15,0,0,0,0
1748413690.3939323,0,0,19,0,0,0,0
1748413690.398074,0,0,16,0,0,0,0
1748413690.43384,0,0,17,0,0,0,0
1748413690.433938,0,0,20,0,0,0,0
1748413690.480997,0,0,21,0,0,0,0
1748413690.5117533,0,0,22,0,0,0,0
1748413690.5397635,0,0,23,0,0,0,0
1748413690.574144,0,0,18,0,0,0,0
1748413690.589011,0,0,24,0,0,0,0
1748413690.5908768,0,0,25,0,0,0,0
1748413690.6333632,0,0,19,0,0,0,0
1748413690.687216,0,0,26,0,0,0,0
1748413690.6897047,0,0,20,0,0,0,0
1748413690.6897047,0,0,27,0,0,0,0
1748413690.7121294,0,0,21,0,0,0,0
1748413690.7125251,0,0,28,0,0,0,0
1748413690.7809765,0,0,22,0,0,0,0
1748413690.798338,0,0,29,0,0,0,0
1748413690.8131135,0,0,23,0,0,0,0
1748413690.883084,0,0,30,0,0,0,0
1748413690.9216628,0,0,31,0,0,0,0
1748413690.9500902,0,0,24,0,0,0,0
1748413690.9798827,0,0,25,0,0,0,0
1748413690.9980016,0,0,32,0,0,0,0
1748413691.0563228,0,0,33,0,0,0,0
1748413691.0582516,0,0,34,0,0,0,0
1748413691.107773,0,0,26,0,0,0,0
1748413691.1375902,0,0,27,0,0,0,0
1748413691.156005,0,0,35,0,0,0,0
1748413691.1762397,0,0,36,0,0,0,0
1748413691.2061868,0,0,37,0,0,0,0
1748413691.236599,0,0,38,0,0,0,0
1748413691.2398057,0,0,28,0,0,0,0
1748413691.2596056,0,0,39,0,0,0,0
1748413691.2759593,0,0,29,0,0,0,0
1748413691.293842,0,0,30,0,0,0,0
1748413691.3294284,0,0,31,0,0,0,0
1748413691.3326786,0,0,40,0,0,0,0
1748413691.4113145,0,0,41,0,0,0,0
1748413691.4191024,0,0,32,0,0,0,0
1748413691.441806,0,0,42,0,0,0,0
1748413691.521091,0,0,43,0,0,0,0
1748413691.5213606,0,0,33,0,0,0,0
1748413691.5275223,0,0,44,0,0,0,0
1748413691.5285244,0,0,34,0,0,0,0
1748413691.550703,0,0,35,0,0,0,0
1748413691.5534885,0,0,36,0,0,0,0
1748413691.6052263,0,0,37,0,0,0,0
1748413691.6202548,0,0,45,0,0,0,0
1748413691.6491323,0,0,46,0,0,0,0
1748413691.6801608,0,0,47,0,0,0,0
1748413691.70713,0,0,38,0,0,0,0
1748413691.7173061,0,0,48,0,0,0,0
1748413691.7292283,0,0,39,0,0,0,0
1748413691.757948,0,0,49,0,0,0,0
1748413691.8256226,0,0,40,0,0,0,0
1748413691.8782775,0,0,50,0,0,0,0
1748413691.88823,0,0,51,0,0,0,0
1748413691.897661,0,0,41,0,0,0,0
1748413692.006145,0,0,42,0,0,0,0
1748413692.0166125,0,0,43,0,0,0,0
1748413692.042897,0,0,44,0,0,0,0
1748413692.0464864,0,0,52,0,0,0,0
1748413692.0571082,0,0,53,0,0,0,0
1748413692.1061115,0,0,45,0,0,0,0
1748413692.1086485,0,0,46,0,0,0,0
1748413692.1112266,0,0,54,0,0,0,0
1748413692.1288912,0,0,55,0,0,0,0
1748413692.1532414,0,0,47,0,0,0,0
1748413692.1732264,0,0,48,0,0,0,0
1748413692.2364733,0,0,56,0,0,0,0
1748413692.243049,0,0,49,0,0,0,0
1748413692.2518022,0,0,57,0,0,0,0
1748413692.3261511,0,0,58,0,0,0,0
1748413692.3321857,0,0,50,0,0,0,0
1748413692.3699594,0,0,51,0,0,0,0
1748413692.3895922,0,0,59,0,0,0,0
1748413692.4125385,0,0,52,0,0,0,0
1748413692.415046,0,0,60,0,0,0,0
1748413692.4497633,0,0,53,0,0,0,0
1748413692.519099,0,0,61,0,0,0,0
1748413692.5780776,0,0,62,0,0,0,0
1748413692.589633,0,0,63,0,0,0,0
1748413692.5974226,0,0,54,0,0,0,0
1748413692.602775,0,0,55,0,0,0,0
1748413692.6047273,0,0,56,0,0,0,0
1748413692.6558218,0,0,64,0,0,0,0
1748413692.685258,0,0,57,0,0,0,0
1748413692.687814,0,0,65,0,0,0,0
1748413692.7576795,0,0,58,0,0,0,0
1748413692.7618701,0,0,66,0,0,0,0
1748413692.7784312,0,0,59,0,0,0,0
1748413692.7903347,0,0,60,0,0,0,0
1748413692.8067675,0,0,67,0,0,0,0
1748413692.834897,0,0,68,0,0,0,0
1748413692.8571694,0,0,61,0,0,0,0
1748413692.891096,0,0,62,0,0,0,0
1748413692.9473107,0,0,63,0,0,0,0
1748413692.97756,0,0,64,0,0,0,0
1748413692.9790537,0,0,69,0,0,0,0
1748413692.9798207,0,0,65,0,0,0,0
1748413692.9812868,0,0,70,0,0,0,0
1748413693.0700395,0,0,66,0,0,0,0
1748413693.153617,0,0,67,0,0,0,0
1748413693.173576,0,0,71,0,0,0,0
1748413693.1809895,0,0,72,0,0,0,0
1748413693.1921535,0,0,68,0,0,0,0
1748413693.1979911,0,0,69,0,0,0,0
1748413693.23163,0,0,73,0,0,0,0
1748413693.2712278,0,0,70,0,0,0,0
1748413693.2712288,0,0,74,0,0,0,0
1748413693.2731662,0,0,75,0,0,0,0
1748413693.2775865,0,0,76,0,0,0,0
1748413693.3335104,0,0,71,0,0,0,0
1748413693.3468313,0,0,77,0,0,0,0
1748413693.3725774,0,0,72,0,0,0,0
1748413693.3926437,0,0,73,0,0,0,0
1748413693.4106603,0,0,78,0,0,0,0
1748413693.4749258,0,0,79,0,0,0,0
1748413693.4749258,0,0,74,0,0,0,0
1748413693.513891,0,0,80,0,0,0,0
1748413693.5373719,0,0,81,0,0,0,0
1748413693.554159,0,0,75,0,0,0,0
1748413693.5604446,0,0,76,0,0,0,0
1748413693.6031091,0,0,82,0,0,0,0
1748413693.6354403,0,0,77,0,0,0,0
1748413693.6607094,0,0,83,0,0,0,0
1748413693.6849356,0,0,84,0,0,0,0
1748413693.7286043,0,0,85,0,0,0,0
1748413693.7502542,0,0,78,0,0,0,0
1748413693.7913747,0,0,86,0,0,0,0
1748413693.7942388,0,0,87,0,0,0,0
1748413693.8114352,0,0,79,0,0,0,0
1748413693.84315,0,0,80,0,0,0,0
1748413693.8765404,0,0,81,0,0,0,0
1748413693.9057863,0,0,88,0,0,0,0
1748413693.965124,0,0,89,0,0,0,0
1748413693.9654956,0,0,82,0,0,0,0
1748413693.9830337,0,0,83,0,0,0,0
1748413694.0025644,0,0,90,0,0,0,0
1748413694.126392,0,0,91,0,0,0,0
1748413694.1528409,0,0,84,0,0,0,0
1748413694.1604078,0,0,85,0,0,0,0
1748413694.196007,0,0,92,0,0,0,0
1748413694.2092736,0,0,93,0,0,0,0
1748413694.2480927,0,0,94,0,0,0,0
1748413694.2497294,0,0,95,0,0,0,0
1748413694.278859,0,0,86,0,0,0,0
1748413694.3020506,0,0,87,0,0,0,0
1748413694.3291671,0,0,96,0,0,0,0
1748413694.3826735,0,0,97,0,0,0,0
1748413694.4288225,0,0,88,0,0,0,0
1748413694.4486613,0,0,89,0,0,0,0
1748413694.5077264,0,0,98,0,0,0,0
1748413694.5375621,0,0,99,0,0,0,0
1748413694.5450308,0,0,90,0,0,0,0
1748413694.5518188,0,0,91,0,0,0,0
1748413694.5590339,0,0,92,0,0,0,0
1748413694.5749404,0,0,93,0,0,0,0
1748413694.5811229,0,0,94,0,0,0,0
1748413694.5894482,0,0,100,0,0,0,0
1748413694.5913439,0,0,95,0,0,0,0
1748413694.631975,0,0,96,0,0,0,0
1748413694.6383932,0,0,101,0,0,0,0
1748413694.6760514,0,0,97,0,0,0,0
1748413694.6760752,0,0,102,0,0,0,0
1748413694.7044075,0,0,103,0,0,0,0
1748413694.7363067,0,0,104,0,0,0,0
1748413694.7710094,0,0,105,0,0,0,0
1748413694.7870824,0,0,98,0,0,0,0
1748413694.789171,0,0,99,0,0,0,0
1748413694.790563,0,0,106,0,0,0,0
1748413694.8451521,0,0,107,0,0,0,0
1748413694.8789988,0,0,108,0,0,0,0
1748413694.8977907,0,0,100,0,0,0,0
1748413694.9558728,0,0,101,0,0,0,0
1748413694.9578023,0,0,109,0,0,0,0
1748413694.9824412,0,0,110,0,0,0,0
1748413694.986852,0,0,102,0,0,0,0
1748413695.0092483,0,0,103,0,0,0,0
1748413695.1072066,0,0,111,0,0,0,0
1748413695.1122537,0,0,104,0,0,0,0
1748413695.125637,0,0,105,0,0,0,0
1748413695.1346183,0,0,112,0,0,0,0
1748413695.1556656,0,0,113,0,0,0,0
1748413695.1760108,0,0,114,0,0,0,0
1748413695.2297804,0,0,115,0,0,0,0
1748413695.2558236,0,0,106,0,0,0,0
1748413695.2645185,0,0,116,0,0,0,0
1748413695.2893724,0,0,117,0,0,0,0
1748413695.2936645,0,0,107,0,0,0,0
1748413695.3483593,0,0,108,0,0,0,0
1748413695.4098701,0,0,118,0,0,0,0
1748413695.4299695,0,0,109,0,0,0,0
1748413695.458441,0,0,119,0,0,0,0
1748413695.4690855,0,0,120,0,0,0,0
1748413695.475733,0,0,110,0,0,0,0
1748413695.4906917,0,0,111,0,0,0,0
1748413695.5298424,0,0,112,0,0,0,0
1748413695.5629456,0,0,121,0,0,0,0
1748413695.5644917,0,0,122,0,0,0,0
1748413695.5657544,0,0,113,0,0,0,0
1748413695.6086679,0,0,123,0,0,0,0
1748413695.669144,0,0,114,0,0,0,0
1748413695.7136202,0,0,124,0,0,0,0
1748413695.731515,0,0,115,0,0,0,0
1748413695.7755492,0,0,125,0,0,0,0
1748413695.8390486,0,0,116,0,0,0,0
1748413695.8549452,0,0,117,0,0,0,0
1748413695.8977377,0,0,126,0,0,0,0
1748413695.9106941,0,0,118,0,0,0,0
1748413695.9223094,0,0,127,0,0,0,0
1748413695.9458423,0,0,119,0,0,0,0
1748413695.9489863,0,0,128,0,0,0,0
1748413696.008336,0,0,120,0,0,0,0
1748413696.009662,0,0,129,0,0,0,0
1748413696.0965335,0,0,130,0,0,0,0
1748413696.0974376,0,0,131,0,0,0,0
1748413696.138854,0,0,121,0,0,0,0
1748413696.171308,0,0,132,0,0,0,0
1748413696.1738148,0,0,122,0,0,0,0
1748413696.1849825,0,0,123,0,0,0,0
1748413696.1972976,0,0,124,0,0,0,0
1748413696.2074056,0,0,133,0,0,0,0
1748413696.2462204,0,0,134,0,0,0,0
1748413696.2627826,0,0,135,0,0,0,0
1748413696.2925808,0,0,136,0,0,0,0
1748413696.3329043,0,0,125,0,0,0,0
1748413696.3375576,0,0,137,0,0,0,0
1748413696.3400102,0,0,138,0,0,0,0
1748413696.346004,0,0,126,0,0,0,0
1748413696.3798892,0,0,127,0,0,0,0
1748413696.4543734,0,0,139,0,0,0,0
1748413696.47211,0,0,128,0,0,0,0
1748413696.4827213,0,0,129,0,0,0,0
1748413696.5221336,0,0,130,0,0,0,0
1748413696.5443115,0,0,140,0,0,0,0
1748413696.63686,0,0,141,0,0,0,0
1748413696.6742074,0,0,131,0,0,0,0
1748413696.7023876,0,0,142,0,0,0,0
1748413696.7107112,0,0,132,0,0,0,0
1748413696.72397,0,0,143,0,0,0,0
1748413696.7250197,0,0,144,0,0,0,0
1748413696.7691975,0,0,145,0,0,0,0
1748413696.8247554,0,0,133,0,0,0,0
1748413696.8247557,0,0,146,0,0,0,0
1748413696.8769517,0,0,134,0,0,0,0
1748413696.890658,0,0,135,0,0,0,0
1748413696.8994713,0,0,147,0,0,0,0
1748413696.9273224,0,0,136,0,0,0,0
1748413696.977841,0,0,148,0,0,0,0
1748413696.9883404,0,0,137,0,0,0,0
1748413697.0019693,0,0,149,0,0,0,0
1748413697.040899,0,0,138,0,0,0,0
1748413697.0682323,0,0,150,0,0,0,0
1748413697.1156902,0,0,139,0,0,0,0
1748413697.117387,0,0,151,0,0,0,0
1748413697.1228483,0,0,152,0,0,0,0
1748413697.170498,0,0,140,0,0,0,0
1748413697.1792228,0,0,141,0,0,0,0
1748413697.2026093,0,0,142,0,0,0,0
1748413697.227109,0,0,143,0,0,0,0
1748413697.2691984,0,0,144,0,0,0,0
1748413697.2779312,0,0,153,0,0,0,0
1748413697.2818048,0,0,154,0,0,0,0
1748413697.3323727,0,0,145,0,0,0,0
1748413697.3351276,0,0,155,0,0,0,0
1748413697.3818743,0,0,156,0,0,0,0
1748413697.3839414,0,0,157,0,0,0,0
1748413697.4066815,0,0,146,0,0,0,0
1748413697.4080968,0,0,147,0,0,0,0
1748413697.4783509,0,0,158,0,0,0,0
1748413697.533718,0,0,159,0,0,0,0
1748413697.5367792,0,0,160,0,0,0,0
1748413697.5370305,0,0,148,0,0,0,0
1748413697.5377028,0,0,161,0,0,0,0
1748413697.5606823,0,0,149,0,0,0,0
1748413697.5861456,0,0,162,0,0,0,0
1748413697.6030412,0,0,150,0,0,0,0
1748413697.6658823,0,0,163,0,0,0,0
1748413697.6973913,0,0,151,0,0,0,0
1748413697.7403817,0,0,164,0,0,0,0
1748413697.7465053,0,0,165,0,0,0,0
1748413697.788003,0,0,152,0,0,0,0
1748413697.795367,0,0,153,0,0,0,0
1748413697.865269,0,0,166,0,0,0,0
1748413697.8752801,0,0,167,0,0,0,0
1748413697.8834107,0,0,168,0,0,0,0
1748413697.9428854,0,0,154,0,0,0,0
1748413697.968812,0,0,169,0,0,0,0
1748413697.970929,0,0,155,0,0,0,0
1748413697.9873002,0,0,156,0,0,0,0
1748413698.007461,0,0,170,0,0,0,0
1748413698.025633,0,0,171,0,0,0,0
1748413698.046876,0,0,157,0,0,0,0
1748413698.1140027,0,0,158,0,0,0,0
1748413698.141501,0,0,159,0,0,0,0
1748413698.142924,0,0,172,0,0,0,0
1748413698.2610044,0,0,160,0,0,0,0
1748413698.2786658,0,0,173,0,0,0,0
1748413698.2989218,0,0,161,0,0,0,0
1748413698.3826718,0,0,162,0,0,0,0
1748413698.4514477,0,0,174,0,0,0,0
1748413698.4728222,0,0,175,0,0,0,0
1748413698.4768229,0,0,163,0,0,0,0
1748413698.5050628,0,0,176,0,0,0,0
1748413698.5428476,0,0,164,0,0,0,0
1748413698.579933,0,0,177,0,0,0,0
1748413698.602592,0,0,165,0,0,0,0
1748413698.6388383,0,0,178,0,0,0,0
1748413698.646944,0,0,179,0,0,0,0
1748413698.6579905,0,0,166,0,0,0,0
1748413698.6717732,0,0,167,0,0,0,0
1748413698.6847355,0,0,168,0,0,0,0
1748413698.7324011,0,0,169,0,0,0,0
1748413698.7571428,0,0,180,0,0,0,0
1748413698.7951684,0,0,181,0,0,0,0
1748413698.8416305,0,0,170,0,0,0,0
1748413698.8552418,0,0,171,0,0,0,0
1748413698.8932493,0,0,182,0,0,0,0
1748413698.9023263,0,0,183,0,0,0,0
1748413698.9340293,0,0,184,0,0,0,0
1748413698.9766037,0,0,185,0,0,0,0
1748413699.0178258,0,0,172,0,0,0,0
1748413699.0202641,0,0,173,0,0,0,0
1748413699.0994647,0,0,186,0,0,0,0
1748413699.1130183,0,0,187,0,0,0,0
1748413699.1188853,0,0,174,0,0,0,0
1748413699.1189857,0,0,188,0,0,0,0
1748413699.1446602,0,0,175,0,0,0,0
1748413699.1797569,0,0,176,0,0,0,0
1748413699.2321548,0,0,189,0,0,0,0
1748413699.2366607,0,0,177,0,0,0,0
1748413699.2853732,0,0,190,0,0,0,0
1748413699.2954054,0,0,178,0,0,0,0
1748413699.3440292,0,0,191,0,0,0,0
1748413699.3553035,0,0,179,0,0,0,0
1748413699.417566,0,0,180,0,0,0,0
1748413699.4439337,0,0,181,0,0,0,0
1748413699.4624126,0,0,192,0,0,0,0
1748413699.482227,0,0,193,0,0,0,0
1748413699.5357285,0,0,182,0,0,0,0
1748413699.5405586,0,0,194,0,0,0,0
1748413699.6073673,0,0,183,0,0,0,0
1748413699.6073668,0,0,195,0,0,0,0
1748413699.7154968,0,0,184,0,0,0,0
