window_end,TP,FP,TN,FN,Precision,Recall,F1
1749911069.8968253,0,0,1,0,0.0,0.0,0.0
1749911069.917652,0,0,2,0,0.0,0.0,0.0
1749911069.9573019,0,0,3,0,0.0,0.0,0.0
1749911069.9574301,0,0,1,0,0.0,0.0,0.0
1749911069.9671772,0,0,2,0,0.0,0.0,0.0
1749911069.9747167,0,0,4,0,0.0,0.0,0.0
1749911069.9816816,0,0,3,0,0.0,0.0,0.0
1749911069.9834387,0,0,4,0,0.0,0.0,0.0
1749911070.0393622,0,0,5,0,0.0,0.0,0.0
1749911070.075584,0,0,5,0,0.0,0.0,0.0
1749911070.0782278,0,0,6,0,0.0,0.0,0.0
1749911070.0801942,0,0,7,0,0.0,0.0,0.0
1749911070.0986154,0,0,6,0,0.0,0.0,0.0
1749911070.159829,0,0,8,0,0.0,0.0,0.0
1749911070.159829,0,0,7,0,0.0,0.0,0.0
1749911070.1765847,0,0,9,0,0.0,0.0,0.0
1749911070.191887,0,0,8,0,0.0,0.0,0.0
1749911070.203906,0,0,10,0,0.0,0.0,0.0
1749911070.2258785,0,0,9,0,0.0,0.0,0.0
1749911070.269691,0,0,10,0,0.0,0.0,0.0
1749911070.3068948,0,0,11,0,0.0,0.0,0.0
1749911070.3674564,0,0,11,0,0.0,0.0,0.0
1749911070.385668,0,0,12,0,0.0,0.0,0.0
1749911070.4175801,0,0,12,0,0.0,0.0,0.0
1749911070.4467611,0,0,13,0,0.0,0.0,0.0
1749911070.4585488,0,0,14,0,0.0,0.0,0.0
1749911070.5706367,0,0,13,0,0.0,0.0,0.0
1749911070.573847,0,0,14,0,0.0,0.0,0.0
1749911070.5738897,0,0,15,0,0.0,0.0,0.0
1749911070.5762084,0,0,16,0,0.0,0.0,0.0
1749911070.6107917,0,0,17,0,0.0,0.0,0.0
1749911070.660693,0,0,15,0,0.0,0.0,0.0
1749911070.6649377,0,0,16,0,0.0,0.0,0.0
1749911070.675695,0,0,17,0,0.0,0.0,0.0
1749911070.7119513,0,0,18,0,0.0,0.0,0.0
1749911070.757765,0,0,19,0,0.0,0.0,0.0
1749911070.8046255,0,0,20,0,0.0,0.0,0.0
1749911070.8086612,0,0,18,0,0.0,0.0,0.0
1749911070.8121853,0,0,19,0,0.0,0.0,0.0
1749911070.8360584,0,0,20,0,0.0,0.0,0.0
1749911070.8372517,0,0,21,0,0.0,0.0,0.0
1749911070.858888,0,0,21,0,0.0,0.0,0.0
1749911070.8835917,0,0,22,0,0.0,0.0,0.0
1749911070.9189851,0,0,23,0,0.0,0.0,0.0
1749911070.928153,0,0,24,0,0.0,0.0,0.0
1749911070.9577699,0,0,22,0,0.0,0.0,0.0
1749911070.9813569,0,0,23,0,0.0,0.0,0.0
1749911071.0222561,0,0,25,0,0.0,0.0,0.0
1749911071.0224054,0,0,24,0,0.0,0.0,0.0
1749911071.0244067,0,0,26,0,0.0,0.0,0.0
1749911071.0249956,0,0,25,0,0.0,0.0,0.0
1749911071.1078508,0,0,26,0,0.0,0.0,0.0
1749911071.1263082,0,0,27,0,0.0,0.0,0.0
1749911071.1521733,0,0,27,0,0.0,0.0,0.0
1749911071.1815538,0,0,28,0,0.0,0.0,0.0
1749911071.1889184,0,0,29,0,0.0,0.0,0.0
1749911071.1994474,0,0,28,0,0.0,0.0,0.0
1749911071.2267356,0,0,30,0,0.0,0.0,0.0
1749911071.2825375,0,0,29,0,0.0,0.0,0.0
1749911071.2898839,0,0,30,0,0.0,0.0,0.0
1749911071.3265975,0,0,31,0,0.0,0.0,0.0
1749911071.370745,0,0,32,0,0.0,0.0,0.0
1749911071.3866544,0,0,31,0,0.0,0.0,0.0
1749911071.4290037,0,0,33,0,0.0,0.0,0.0
1749911071.4344552,0,0,32,0,0.0,0.0,0.0
1749911071.4375272,0,0,33,0,0.0,0.0,0.0
1749911071.4539728,0,0,34,0,0.0,0.0,0.0
1749911071.4539967,0,0,34,0,0.0,0.0,0.0
1749911071.5326927,0,0,35,0,0.0,0.0,0.0
1749911071.532693,0,0,35,0,0.0,0.0,0.0
1749911071.5566177,0,0,36,0,0.0,0.0,0.0
1749911071.6104457,0,0,36,0,0.0,0.0,0.0
1749911071.6320908,0,0,37,0,0.0,0.0,0.0
1749911071.6904197,0,0,37,0,0.0,0.0,0.0
1749911071.714208,0,0,38,0,0.0,0.0,0.0
1749911071.766763,0,0,38,0,0.0,0.0,0.0
1749911071.782783,0,0,39,0,0.0,0.0,0.0
1749911071.787787,0,0,39,0,0.0,0.0,0.0
1749911071.8344467,0,0,40,0,0.0,0.0,0.0
1749911071.8344438,0,0,40,0,0.0,0.0,0.0
1749911071.844555,0,0,41,0,0.0,0.0,0.0
1749911071.926858,0,0,42,0,0.0,0.0,0.0
1749911071.9433856,0,0,41,0,0.0,0.0,0.0
1749911071.943385,0,0,43,0,0.0,0.0,0.0
1749911071.9581513,0,0,42,0,0.0,0.0,0.0
1749911071.9670343,0,0,44,0,0.0,0.0,0.0
1749911072.0516741,0,0,43,0,0.0,0.0,0.0
1749911072.0600934,0,0,45,0,0.0,0.0,0.0
1749911072.0975626,0,0,46,0,0.0,0.0,0.0
1749911072.1126099,0,0,44,0,0.0,0.0,0.0
1749911072.120572,0,0,47,0,0.0,0.0,0.0
1749911072.1450155,0,0,45,0,0.0,0.0,0.0
1749911072.1450124,0,0,48,0,0.0,0.0,0.0
1749911072.1477823,0,0,49,0,0.0,0.0,0.0
1749911072.219529,0,0,46,0,0.0,0.0,0.0
1749911072.247666,0,0,50,0,0.0,0.0,0.0
1749911072.3015559,0,0,51,0,0.0,0.0,0.0
1749911072.303249,0,0,47,0,0.0,0.0,0.0
1749911072.314666,0,0,48,0,0.0,0.0,0.0
1749911072.422954,0,0,52,0,0.0,0.0,0.0
1749911072.4664447,0,0,53,0,0.0,0.0,0.0
1749911072.4889994,0,0,49,0,0.0,0.0,0.0
1749911072.499135,0,0,50,0,0.0,0.0,0.0
1749911072.5163205,0,0,51,0,0.0,0.0,0.0
1749911072.5667233,0,0,54,0,0.0,0.0,0.0
1749911072.6134055,0,0,52,0,0.0,0.0,0.0
1749911072.615594,0,0,53,0,0.0,0.0,0.0
1749911072.6350427,0,0,55,0,0.0,0.0,0.0
1749911072.691837,0,0,54,0,0.0,0.0,0.0
1749911072.7129822,0,0,55,0,0.0,0.0,0.0
1749911072.7272766,0,0,56,0,0.0,0.0,0.0
1749911072.7909734,0,0,56,0,0.0,0.0,0.0
